id,label,canopy,comment_count,reply_count,mention_count,thread_count,total_likes,avg_likes,first_timestamp,last_timestamp,threads,text_sample
106026740199636992,nn.land,canopy_179,1,0,0,0,3,3.0,1779761437,1779761437,[],"Iya oy, duit cash di dompet cuma puluhan ribu. Tapi identitas lah yg bisa membantu aku kembali ke rumah orang tuaku🥺 awl🐣"
119419377912877056,ur_angelbby,canopy_070,1,0,0,0,11,11.0,1780488658,1780488658,[],jujur sering kepikiran ini jugaa wkwk d
121271840324419584,by.rochee,canopy_273,1,0,0,0,3,3.0,1780591092,1780591092,[],Ga kefikiran sumpah. Gua selama ini cashless jadi gapernah bawa dompet Preloved.byrochee
134975594403930112,ellba.anaside,canopy_134,1,0,0,0,1,1.0,1780375199,1780375199,[],"meski ga bawa dompet KTP ku selalu aku bawa. aku selalu mikir, kalau ada apa apa biar yg nolong bisa langsung ngabarin keluargaku😭 Ellba🧚‍♀️"
1690141112168498,v4eryn_,canopy_001,2,0,2,0,0,0.0,1781152225,1781152225,[],@YUUD:lah kirain pemikiran gw doang yg kaya gini nesyα. @YUUD:lah kirain pemikiran gw doang yg kaya gini nesyα.
1690191252265986,suka.matchaaa25_,canopy_487,1,0,0,0,0,0.0,1780239802,1780239802,[],"sama,bawa dompet cma wadahin KTP doang matchalatte"
217935213824450560,lzurch,canopy_233,1,0,0,0,0,0.0,1780559442,1780559442,[],udah setahun ga pernah bawa dompet kemana mana 😭😭😭 ichitann
248214494554877952,juslostttttttt_,canopy_696,1,0,0,0,0,0.0,1780721193,1780721193,[],Aku selalu nyelipin kertas dengan biodata lengkap disetiap dompet dan casing hp beserta nomor hp orang terdekat gua karna hal ini belaik🥺 Melllllll
6509672677845843969,nirwanajune,canopy_003,2,0,0,0,0,0.0,1782212185,1782212185,[],Iya lagi. Ktp ketinggalan aja panik june🫧 Iya lagi. Ktp ketinggalan aja panik june🫧
6518262392518262786,ogios2a7gg,canopy_527,1,0,0,0,0,0.0,1780110413,1780110413,[],aku jg udah di mode ke 2 klo kemana2 😳😳😳😳😳 ✨️ªýª✨️
6522266976063062018,oblongerss,canopy_462,1,0,0,0,0,0.0,1780236396,1780236396,[],"iya lagi, di tas gua selalu ada ktp sama sim😭 langsek manih"
6522784619803181057,6rowup,canopy_249,1,0,0,0,4,4.0,1779625662,1779625662,[],iya lagi wkkwkw 🤣 growup
6523428105334456322,yourtiramisuuu,canopy_050,1,0,0,0,10,10.0,1779713184,1779713184,[],"Wkwkw selalu mikir gini, makanya kemana2 bawa dompet Misya"
6525613075922419714,mulby22,canopy_477,1,0,0,0,0,0.0,1780195250,1780195250,[],"asli, klo kemana2 harus bawa KTP 😂 ganti2 dompet/tas KTP ttp harus ke angkut🤣 Mulby 🫐"
6528922039171481602,iiraffel,canopy_254,1,0,0,0,1,1.0,1779884326,1779884326,[],"sebagai orang yang apa apa serba cashless, video ini membuatku berfikir ulang 😁 Rapel"
6529308456757985282,anakk.tengahh,canopy_168,1,0,0,0,3,3.0,1779855509,1779855509,[],"iyalagi,knp dah pikiranku sejauh itu😭 I'm Faoo"
